COD;MUN.DIS;MUN;PROV;N2019;N2018;N2017;N2016;N2015;M2019;M2018;M2017;M2016;M2015
25041;Barbens;Barbens;Lleida;8;4;6;5;5;;;316.67;;
43021;Barberà de la Conca;Barberà de la Conca;Tarragona;4;4;3;2;3;711.19;;;;
8252;Barberà del Vallès;Barberà del Vallès;Barcelona;442;44;413;38;373;978.81;633.41;613.13;569.25;541.71
25042;Baronia de Rialb, la;Baronia de Rialb, la;Lleida;51294;1;1;1;2;;;;;
17016;Bàscara;Bàscara;Girona;3;27;16;18;26;568.65;513.15;433.85;560.28;407.12
25044;Bassella;Bassella;Lleida;26;;;1;1;;;;;
43022;Batea;Batea;Tarragona;1;4;3;5;6;290.71;;;;300
25045;Bausen;Bausen;Lleida;14;;;;2;;;;;
8020;Begues;Begues;Barcelona;;118;102;113;99;795.49;863.74;910.91;731.65;841.67
17013;Begur;Begur;Girona;434;26;16;24;2;693.62;594.42;547.6;643.95;694.54
25046;Belianes;Belianes;Lleida;32;1;3;1;5;;;;;
2517;Bellaguarda;Bellaguarda;Lleida;4;1;1;1;;;;;;
17018;Bellcaire d'Empordà;Bellcaire d'Empordà;Girona;1;13;12;9;5;532.86;521.35;500.42;51;
25047;Bellcaire d'Urgell;Bellcaire d'Urgell;Lleida;14;8;8;7;6;327.73;305;31;297.14;282.5
25048;Bell0lloc d'Urgell;Bell-lloc d'Urgell;Lleida;11;29;23;16;14;330.42;356.19;374.22;291.27;366.48
43023;Bellmunt del Priorat;Bellmunt del Priorat;Tarragona;24;;3;1;1;;;;;
25049;Bellmunt d'Urgell;Bellmunt d'Urgell;Lleida;;;1;;1;;;;;
8021;Bellprat;Bellprat;Barcelona;;3;1;;1;;;;;
25050;Bellpuig;Bellpuig;Lleida;1;94;9;76;100;365.65;342.74;349.39;323.26;315.17
43024;Bellvei;Bellvei;Tarragona;94;13;13;19;21;458.17;409.18;412.54;425.79;395.6
25051;Bellver de Cerdanya;Bellver de Cerdanya;Lleida;2;46;49;55;79;488.9;455.12;445.61;478.83;460.19
25052;Bellvís;Bellvís;Lleida;59;14;7;8;8;333.23;300.48;381.36;325.63;306.88
25053;Benavent de Segrià;Benavent de Segrià;Lleida;15;9;6;9;2;450;438.89;455;418.89;
43025;Benifallet;Benifallet;Tarragona;6;2;3;2;;288.33;;;;
43026;Benissanet;Benissanet;Tarragona;6;7;1;2;5;290;315.71;;;
8022;Berga;Berga;Barcelona;6;357;358;353;269;391.97;356.91;343.6;319.64;322.59
17019;Besalú;Besalú;Girona;300;43;24;39;33;491.13;436.21;471.17;384.53;394.38
17020;Bescanó;Bescanó;Girona;4;42;45;22;35;590.47;693.33;596.17;585.68;505.38
17021;Beuda;Beuda;Girona;43;;1;;2;;;;;
8023;Bigues i Riells;Bigues i Riells;Barcelona;2;96;122;92;115;781.18;735.41;686.06;652.32;594.15
25055;Biosca;Biosca;Lleida;106;;2;2;2;;;;;
43027;Bisbal de Falset, la;Bisbal de Falset, la;Tarragona;3;;1;1;2;;;;;
43028;Bisbal del Penedès, la;Bisbal del Penedès, la;Tarragona;;32;38;47;26;553.17;526.5;475.19;442.64;473.61
17022;Bisbal d'Empordà, la;Bisbal d'Empordà, la;Girona;41;247;21;224;267;450.89;420.89;389.16;381.93;346.24
17234;Biure;Biure;Girona;23;6;6;;3;;635;580.83;;
43029;Blancafort;Blancafort;Tarragona;2;2;3;2;2;375;;;;
17023;Blanes;Blanes;Girona;7;949;882;904;887;512.64;494.5;451.97;430.78;424.56
17029;Boadella i les Escaules;Boadella i les Escaules;Girona;886;3;8;1;1;525.64;;48;429.5;483.5
17024;Bolvir;Bolvir;Girona;6;3;8;8;5;;;1002.27;1133.75;
43030;Bonastre;Bonastre;Tarragona;4;16;12;1;11;444.17;383.75;413.33;366.14;458.64
25057;Bòrdes, Es;Bòrdes, Es;Lleida;8;;2;2;2;;;;;
17025;Bordils;Bordils;Girona;1;29;26;26;23;591.28;513.95;499.62;456.54;510.87
25058;Borges Blanques, les;Borges Blanques, les;Lleida;25;123;99;91;88;308.48;315.38;317.62;286.41;286.49
43031;Borges del Camp, les;Borges del Camp, les;Tarragona;111;26;25;24;33;399.62;358.27;347.74;347.5;325.82
17026;Borrassà;Borrassà;Girona;25;8;7;11;7;;634.38;539.57;406.82;416.43
8024;Borredà;Borredà;Barcelona;5;3;6;4;6;249.17;;251.01;;273.33
25059;Bossòst;Bossòst;Lleida;12;17;9;15;7;490;443.82;352.65;392.93;335.71
43032;Bot;Bot;Tarragona;2;2;2;;;;;;;
43033;Botarell;Botarell;Tarragona;;8;1;14;8;439.67;442.5;423.5;353.21;344.38
25056;Bovera;Bovera;Lleida;12;1;;;;;;;;
43034;Bràfim;Bràfim;Tarragona;;8;4;3;2;;401.25;;;
17027;Breda;Breda;Girona;3;82;89;61;49;497.7;460.23;398.94;415.82;402.35
8025;Bruc, el;Bruc, el;Barcelona;100;27;37;3;28;587.76;673.52;599.32;649.67;588.04
8026;Brull, el;Brull, el;Barcelona;29;;1;;1;;;;;
17028;Brunyola;Brunyola;Girona;1;9;2;7;8;;633.33;;388.57;431.25
43035;Cabacés;Cabacés;Tarragona;4;7;6;5;2;551.43;575.71;637.5;;
25060;Cabanabona;Cabanabona;Lleida;7;;;;1;;;;;
17031;Cabanelles;Cabanelles;Girona;;2;2;2;4;;;;;
17030;Cabanes;Cabanes;Girona;2;14;22;12;6;461.33;44;505.91;497.92;43
8027;Cabanyes, les;Cabanyes, les;Barcelona;15;3;1;3;2;865;;600;;
25061;Cabó;Cabó;Lleida;6;;;;;;;;;
43036;Cabra del Camp;Cabra del Camp;Tarragona;;1;1;13;9;523.01;442.5;53;366.15;280.56
8028;Cabrera d'Anoia;Cabrera d'Anoia;Barcelona;13;13;11;17;12;522.67;729.62;597.27;534.19;527.92
8029;Cabrera de Mar;Cabrera de Mar;Barcelona;21;81;65;56;55;1138.33;912.04;876.31;800.07;748.64
8030;Cabrils;Cabrils;Barcelona;78;112;107;102;9;1194.52;1178.01;1147.05;900.63;1014.18
17032;Cadaqués;Cadaqués;Girona;105;39;35;49;32;704.11;645.94;595.58;775.26;553.7
